customer_id,tipo_id,dni,name,last_name1,last_name2,birthday,phone,registration_date,account_status,is_premium
1001,CC,1181165722,Luis,Álvarez,Medina,2002-07-06,+57 300 133 8908,2023-04-13,active,false
1002,CC,606724164,Mario,Arango,Rodríguez,1998-10-20,+57 303 161 5594,2024-12-27,active,false
1003,CC,1523056504,Martín,Hernández,Escobar,2004-01-15,+57 313 131 6475,2024-05-18,active,false
1004,CC,1002696249,Arley,Bedoya,Franco,1983-09-22,+57 325 503 0564,2024-05-01,active,false
1005,CC,578825839,Ferney,Montoya,Ocampo,1999-10-04,+57 351 969 6532,2024-07-29,active,true
1006,CC,1015129473,Sandra,Gutiérrez,Bedoya,1974-10-02,+57 325 184 5146,2023-03-02,active,true
1007,CE,5107072,Giovanny,León,Uribe,1954-05-24,+57 304 528 8095,2024-03-20,active,true
1008,CC,1053656560,Janeth,Zapata,Cortés,1956-01-03,+57 304 278 2489,2026-02-01,active,false
1009,CC,1941906533,Libardo,Botero,Zapata,1974-06-21,+57 311 315 0983,2023-10-12,active,true
1010,CC,1052419699,FFelipe,Aguilar,,1994-05-07,+57 351 997 3763,2023-11-04,active,false
1011,CC,874622621,Yesenia,Navarro,Sánchez,1961-08-17,+57 311 338 7262,2023-09-18,active,false
1012,CC,210280283,Manuel,Carvajal,,1948-10-08,+57 317 773 6026,2024-01-13,active,false
1013,CC,1552770021,Duván,Bermúdez,Duque,1976-11-19,+57 313 309 8050,2024-03-01,active,false
1014,CC,155944840,Arturo,Ortiz,,1964-10-09,+57 303 939 9091,2025-05-13,active,false
1015,CC,654238817,Raúl,Herrera,Montoya,1978-08-30,+57 300 799 1183,2023-07-05,active,true
1016,CC,1743233928,Ana,Valencia,Ortiz,1966-05-13,+57 325 841 2411,2023-02-23,active,false
1017,CC,1954195299,Isabella,Hoyos,Bedoya,1950-01-11,+57 324 640 0524,2023-08-15,active,false
1018,CC,87369839,Armando,García,,1954-08-02,+57 317 204 5053,2023-12-07,active,false
1019,CE,3070445,Margarita,Caicedo,Rangel,1951-07-11,+57 305 563 4216,2023-03-29,inactive,false
1020,CC,608295509,Zulay,Bermúdez,Aguilar,1953-01-02,+57 315 868 5014,2024-08-31,active,false
1021,PA,DX27095,Marcela,Contreras,Tobón,1961-10-29,+57 317 159 5148,2025-02-21,active,false
1022,CC,1948760147,Yolanda,Carvajal,,1996-04-21,+57 316 804 4369,2024-10-15,active,false
1023,CC,1369230139,Karen,Muñoz,Álvarez,1968-08-19,+57 311 433 2003,2023-08-17,suspended,false
1024,CC,533952602,Enrique,Galindo,Prieto,1999-02-05,+57 317 328 7083,2023-09-13,inactive,true
1025,CE,8568772,Teresa,Henao,Cifuentes,1980-05-02,+57 305 774 3487,2025-08-08,active,false
1026,CC,832562025,Milena,Cortés,Montoya,1963-11-21,+57 302 665 8760,2024-04-20,active,false
1027,CC,765396286,Yeison,Duque,,1988-07-22,+57 321 893 7346,2025-06-14,active,false
1028,CC,1957614909,Anderson,Rincón,Navarro,1982-04-25,+57 302 627 2046,2023-04-03,active,false
1029,CC,1168393599,Vanessa,Castaño,Galindo,2004-08-11,+57 324 100 3309,2024-05-11,active,true
1030,CC,1616158111,Freddy,Muñoz,Parra,1962-12-11,+57 313 190 4966,2024-01-08,inactive,false
1031,CC,269963764,Emiro,Valencia,,1957-04-23,+57 315 865 1850,2023-05-02,active,false
1032,CC,1406846668,Constanza,Gil,Bermúdez,1990-05-08,+57 318 694 5314,2025-10-24,inactive,false
1033,CC,771980803,Dora,Henao,Martínez,1956-09-27,+57 312 948 0831,2025-01-04,active,false
1034,CC,485874654,Álvaro,Botero,Hoyos,1982-10-06,+57 325 957 8856,2024-10-26,suspended,false
1035,CC,1160759088,Olga,Arias,Aguilar,1947-11-05,+57 310 749 8941,2024-03-05,active,false
1036,CC,1507692434,Carmen,García,Rojas,1947-12-05,+57 303 094 7775,2025-11-08,active,true
1037,CC,335831273,Gonzalo,Castro,Rincón,1998-04-25,+57 302 318 6999,2024-10-21,active,false
1038,CC,1599329690,Sara,Mejía,Peña,2001-10-23,+57 312 123 2812,2024-04-14,active,false
1039,CC,511273795,Mateo,González,Mesa,1948-09-24,+57 317 183 2421,2024-03-18,active,false
1040,CE,8496529,Freddy,Cardona,Navarro,1973-05-30,+57 302 906 5940,2025-07-22,active,false
1041,CC,1634074950,Wilmer,Beltrán,Uribe,1996-06-11,+57 324 742 9671,2026-01-04,active,false
1042,CC,1643160830,Marcela,Ortiz,Botero,1973-01-19,+57 302 545 1680,2025-08-26,active,false
1043,CC,583498908,Martha,Trujillo,Villegas,1972-12-01,+57 318 710 9324,2024-09-18,active,false
1044,CE,4996624,Nubia,Castro,Vargas,1975-09-21,+57 319 737 8263,2025-06-06,inactive,false
1045,CC,15508852,Santiago,Castaño,Galindo,1989-09-07,+57 304 787 5588,2025-11-05,active,false
1046,CC,1025708756,Arley,Cortés,Aguilar,1962-07-27,+57 325 270 2895,2025-04-07,inactive,false
1047,NIT,820086555,Gladys,Bermúdez,,1977-09-24,+57 323 615 8657,2024-12-31,inactive,true
1048,CC,1370963095,Helena,Bedoya,Aguilar,1962-12-18,+57 305 400 5045,2025-08-03,active,true
1049,CC,1477020341,Freddy,Bedoya,Reyes,1992-05-28,+57 311 747 4074,2023-11-27,active,false
1050,CC,836122448,Stella,Beltrán,Peña,1953-06-04,+57 311 695 9440,2023-09-13,suspended,false
1051,CC,1949037969,Consuelo,Bedoya,Sánchez,1989-10-12,+57 311 394 2104,2025-01-28,active,true
1052,CC,1168369334,Luz,Díaz,Giraldo,1951-08-04,+57 320 424 7451,2026-01-29,active,true
1053,CC,1707976594,Mario,Aristizábal,Velásquez,1983-01-31,+57 321 175 4965,2024-08-01,active,false
1054,CC,1515551759,Margarita,Giraldo,Medina,1988-07-12,+57 304 004 7113,2023-10-03,inactive,true
1055,CC,900957740,Yuliana,Rangel,Niño,1966-12-19,+57 323 640 5377,2025-11-05,suspended,false
1056,CC,272335998,Stephany,Bernal,Caballero,1947-06-20,+57 325 390 0532,2023-08-13,active,false
1057,CE,147572,Hugo,Herrera,Aguilar,1990-11-25,+57 321 421 0205,2023-10-31,active,false
1058,CC,1032730420,Gloria,León,,1979-08-06,+57 322 178 3908,2025-12-24,active,false
1059,CC,183496238,Elizabeth,Rincón,Jiménez,1987-11-24,+57 304 499 8569,2023-06-21,active,false
1060,CC,1868630607,Diego,Duque,,1994-07-02,+57 311 657 6615,2025-08-19,active,false
1061,CC,1608992631,Mónica,Bedoya,Torres,1960-07-31,+57 321 098 8516,2023-10-31,active,false
1062,CC,342280517,Giovanny,Sánchez,Contreras,1965-06-05,+57 303 585 1493,2024-05-11,active,false
1063,CC,1499218035,Deiby,Vásquez,Caballero,1991-01-24,+57 312 455 0229,2024-02-11,active,true
1064,CC,679236148,Luis,Díaz,Muñoz,1961-08-24,+57 301 229 0147,2023-07-30,active,false
1065,CC,1283746096,Viviana,Muñoz,Castro,1976-05-13,+57 301 369 0034,2024-10-30,inactive,false
1066,CC,1153711883,Mateo,Giraldo,,1962-10-13,+57 321 516 0607,2025-11-27,inactive,false
1067,NIT,846136855,Wilmer,Rincón,Galindo,1956-06-16,+57 302 613 6968,2025-02-17,active,false
1068,CC,1955454253,Mario,Duarte,Gómez,1958-08-13,+57 351 231 2432,2025-01-26,active,false
1069,CC,1904183999,Javier,Escobar,Villegas,1971-08-26,+57 304 717 7449,2024-11-15,active,false
1070,CE,1614923,Angélica,González,,1968-05-23,+57 318 980 7935,2025-04-04,active,false
1071,CC,94057080,Ramón,Jiménez,Ríos,1992-06-27,+57 320 892 5546,2025-07-25,active,false
1072,CC,551156828,Jhonatan,Escobar,Torres,1961-11-22,+57 302 925 4629,2024-12-20,active,true
