email_id,customer_id,email,email_type,is_primary,is_verified
1,1001,luisalvarez10@hotmail.com,personal,true,true
2,1002,marioarango60@live.com,personal,true,true
3,1002,marioarango@servicios.co,work,false,true
4,1003,martinhernandez@yahoo.com,personal,true,true
5,1004,arleybedoya@live.com,personal,true,true
6,1005,montoya.ferney@gmail.com,personal,true,true
7,1006,sandragutierrez@yahoo.com,personal,true,false
8,1007,gleon@yahoo.com,personal,true,true
9,1007,giovanny.leon@servicios.co,personal,false,false
10,1008,jzapata@hotmail.com,personal,true,true
11,1009,lbotero@outlook.com,personal,true,true
12,1010,ffelipeaguilar@live.com,personal,true,true
13,1011,yesenia.navarro@yahoo.com,personal,true,false
14,1011,ynavarro@corporacion.co,personal,false,false
15,1012,manuel.carvajal@outlook.com,personal,true,true
16,1012,manuelcarvajal41@empresa.com.co,personal,false,false
17,1013,bermudez.duvan@yahoo.com,personal,true,true
18,1014,arturoortiz@live.com,personal,true,true
19,1015,raul.herrera@live.com,personal,true,true
20,1016,ana.valencia@live.com,personal,true,true
21,1017,ihoyos@outlook.com,personal,true,true
22,1018,armandogarcia@gmail.com,personal,true,true
23,1019,margaritacaicedo21@live.com,personal,true,true
24,1020,bermudez.zulay@outlook.com,personal,true,false
25,1020,zulay.bermudez@empresa.com.co,personal,false,true
26,1021,contreras.marcela@live.com,personal,true,true
27,1022,yolandacarvajal5@outlook.com,personal,true,true
28,1023,karenmunoz15@hotmail.com,personal,true,true
29,1024,enriquegalindo60@yahoo..com,personal,true,true
30,1025,thenao@outlook.com,personal,true,true
31,1026,milenacortes31@gamil.com,personal,true,true
32,1027,yduque@live.com,personal,true,false
33,1028,andersonrincon31@live.com,personal,true,true
34,1029,vanessacastano@yahoo.com,personal,true,true
35,1030,munoz.freddy@outlook.com,personal,true,true
36,1031,emiro.valencia@live.com,personal,true,true
37,1032,gil.constanza@outlook.com,personal,true,true
38,1032,constanza.gil@servicios.co,work,false,true
39,1033,dora.henao@live.com,personal,true,true
40,1034,alvarobotero@outlook.com,personal,true,false
41,1035,olgaarias69@hotmail.com,personal,true,true
42,1036,garcia.carmen@gmail.com,personal,true,true
43,1037,gonzalocastro@gmail.com,personal,true,false
44,1037,gonzalocastro@grupo.com.co,work,false,true
45,1038,sara.mejia@yahoo.com,personal,true,true
46,1039,mateogonzalez@yahoo.com,personal,true,true
47,1039,mateo.gonzalez@empresa.com.co,other,false,true
48,1040,cardona.freddy@live..com,personal,true,false
49,1040,cardona.freddy@empresa.com.co,work,false,false
50,1041,wilmer.beltran@hotmail.com,personal,true,true
51,1042,mortiz@outlook.com,personal,true,false
52,1043,marthatrujillo71@outlook.com,personal,true,true
53,1044,ncastro@hotmail.com,personal,true,true
54,1045,santiago.castano@yahoo.com,personal,true,true
55,1046,arleycortes27@yahoo.com,personal,true,true
56,1047,gladys.bermudez@live.com,personal,true,true
57,1048,helenabedoya48@gmail.com,personal,true,true
58,1049,fbedoya@yahoo.com,personal,true,false
59,1050,stellabeltran68outlook.com,personal,true,true
60,1051,consuelobedoya@outlook.com,personal,true,true
61,1052,luz.diaz@gmail.com,personal,true,true
62,1053,maristizabal@live.com,personal,true,true
63,1054,giraldo.margarita@hotmail.com,personal,true,true
64,1055,rangel.yuliana@gmail.com,personal,true,true
65,1056,stephanybernal@outlook.com,personal,true,true
66,1057,hugo.herrera@yahoo.com,personal,true,true
67,1058,leon.gloria@hotmial.com,personal,true,true
68,1059,erincon@yahoo.com,personal,true,false
69,1059,erincon@empresa.com.co,work,false,true
70,1060,dduque@outlook.com,personal,true,true
71,1060,duque.diego@servicios.co,personal,false,true
72,1061,mbedoya@gmail.com,personal,true,true
73,1062,giovanny.sanchez@hotmail.com,personal,true,false
74,1063,deiby.vasquez@hotmail.com,personal,true,false
75,1064,luis.diaz@gmail.com,personal,true,true
76,1064,ldiaz@empresa.com.co,personal,false,false
77,1065,vivianamunoz@hotmail.com,personal,true,true
78,1066,mateogiraldo19@live.com,personal,true,true
79,1067,wilmerrincon31@live.com,personal,true,false
80,1068,marioduarte@yahoo.com,personal,true,true
81,1069,javierescobar@live.com,personal,true,true
82,1070,angelicagonzalez10@gmail.com,personal,true,true
83,1071,ramonjimenez50@hotmail.com,personal,true,true
84,1072,jescobar@live.com,personal,true,true
85,1073,william.duarte@live.com,personal,true,true
86,1074,ortiz.mauricio@live.com,personal,true,true
87,1074,mortiz@corporacion.co,work,false,true
88,1075,sergio.bernal@gmail.com,personal,true,false
89,1075,bernal.sergio@servicios.co,work,false,false
90,1076,fernandocardona11@outlook.com,personal,true,true
91,1077,camilamontoya43@gmail.com,personal,true,true
92,1078,eliasbarrera@yahoo.com,personal,true,true
93,1079,pilarcortes68@live.com,personal,true,true
94,1079,pilarcortes@empresa.com.co,personal,false,true
95,1080,cortes.esteban@gmail.com,personal,true,true
96,1081,danielmontoya92@yahoo.com,personal,true,true
97,1082,rosaocampo89@outlook.com,personal,true,true
98,1083,jreyes@live.com,personal,true,true
99,1084,alejandracaballro90@live.com,personal,true,false
100,1085,flor.pineda@outlook.com,personal,true,true
101,1086,mateomejia2@yahoo.com,personal,true,true
102,1087,jacobo.diaz@hotmail.com,personal,true,false
103,1088,gustavorojas63@hotmail.com,personal,true,true
104,1089,reyes.fanny@hotmail.com,personal,true,true
105,1090,dospina@outlook.com,personal,true,true
106,1091,srincon@yahoo.com,personal,true,true
107,1092,prieto.rocio@outlook.com,personal,true,false
108,1093,nubia.forero@yahoo.com,personal,true,true
109,1094,reinaldocarvajal@yahoo.com,personal,true,true
110,1095,rubenbermudez32@live.com,personal,true,true
111,1095,rbermudez@empresa.com.co,personal,false,false
112,1096,sandragalindo@live.com,personal,true,true
113,1097,wendycastro51@live.com,personal,true,true
114,1097,castro.wendy@grupo.com.co,personal,false,true
115,1098,ines.rios@outlook.com,personal,true,true
116,1099,palacio.margarita@hotmail.com,personal,true,true
117,1100,mduque@yahoo.com,personal,true,true
118,1101,caicedo.jorge@outlook.com,personal,true,true
119,1101,jorge.caicedo@empresa.com.co,work,false,true
120,1102,duvanocampo@live.com,personal,true,true
121,1102,duvanocampo94@corporacion.co,work,false,true
122,1103,oscarrivera@outlook.com,personal,true,true
123,1104,pecheverri@outlook.com,personal,true,true
124,1105,didierzapata@live.com,personal,true,true
125,1105,dzapata@corporacion.co,work,false,false
126,1106,edgardovillegas@live.com,personal,true,false
127,1107,ferneypadilla18@live.com,personal,true,true
128,1108,anino@yahoo.com,personal,true,true
129,1109,ines.velasquez@live.com,personal,true,true
130,1110,davidjaramillo@outlook.com,personal,true,true
131,1111,maira.prieto@outlook.com,personal,true,true
132,1112,henao.fanny@yahoo.com,personal,true,true
133,1112,fhenao@empresa.com.co,personal,false,true
134,1113,catalina.parra@outlook.com,personal,true,true
135,1114,amparomejia@gmail.com,personal,true,true
136,1115,tatianaquintero@hotmail.com,personal,true,true
137,1116,ospina.german@yahoo.com,personal,true,true
138,1116,ospina.german@empresa.com.co,work,false,true
139,1117,williamramirez65@yahoo.com,personal,true,true
140,1118,jaramillo.gonzalo@hotmail.com,personal,true,true
141,1119,pilar.arias@live.com,personal,true,true
